Id,KC,log_GSS,TopHalf
212,50.2647,-3.99306,1
213,27.9248,-4.29409,1
214,41.8872,-4.29409,1
215,44.6797,-3.99306,1
216,44.6797,-3.69203,1
217,47.4722,-4.29409,1
218,36.3023,-4.29409,1
219,44.6797,-3.69203,1
220,50.2647,-3.99306,1
221,36.3023,-3.21491,1
222,30.7173,-3.21491,1
223,44.6797,-3.51594,1
224,33.5098,-4.29409,1
225,41.8872,-3.99306,1
226,50.2647,-4.29409,1
227,36.3023,-3.21491,1
228,33.5098,-3.99306,1
229,47.4722,-4.29409,1
230,44.6797,-3.69203,1
231,41.8872,-4.29409,1
232,33.5098,-3.59512,1
233,39.0947,-4.29409,1
234,36.3023,-3.99306,1
235,36.3023,-2.97187,0
236,44.6797,-3.69203,1
237,41.8872,-3.69203,1
238,39.0947,-4.29409,1
239,36.3023,-3.391,1
240,39.0947,-3.21491,0
241,50.2647,-3.69203,1
242,47.4722,-4.29409,1
243,39.0947,-4.29409,1
244,41.8872,-3.59512,1
245,41.8872,-4.29409,1
246,41.8872,-3.69203,1
247,39.0947,-3.21491,0
248,41.8872,-3.99306,1
249,39.0947,-3.69203,1
250,55.8496,-3.99306,1
251,44.6797,-4.29409,1
252,33.5098,-3.69203,1
253,41.8872,-3.69203,1
254,33.5098,-3.69203,1
255,41.8872,-4.29409,1
256,47.4722,-4.29409,1
257,33.5098,-3.69203,1
258,22.3398,-4.29409,1
259,47.4722,-3.99306,1
260,50.2647,-3.69203,1
261,47.4722,-4.29409,1
262,41.8872,-3.69203,1
263,30.7173,-3.69203,1
264,36.3023,-2.5459,0
265,39.0947,-3.51594,1
266,33.5098,-4.29409,1
267,41.8872,-4.29409,1
268,44.6797,-3.69203,1
269,36.3023,-3.2527,1
270,44.6797,-4.29409,1
271,41.8872,-4.29409,1
272,44.6797,-4.29409,1
273,33.5098,-4.29409,1
274,41.8872,-4.29409,1
275,41.8872,-3.99306,1
276,41.8872,-3.99306,1
277,39.0947,-3.69203,1
278,47.4722,-3.69203,1
279,47.4722,-3.69203,1
280,41.8872,-3.69203,1
281,41.8872,-3.99306,1
282,36.3023,-3.59512,1
283,44.6797,-4.29409,1
284,44.6797,-3.99306,1
285,47.4722,-4.29409,1
286,39.0947,-4.29409,1
287,27.9248,-2.391,1
288,39.0947,-4.29409,1
289,41.8872,-4.29409,1
290,44.6797,-3.08997,0
291,47.4722,-4.29409,1
292,41.8872,-3.391,1
293,50.2647,-2.78894,0
294,33.5098,-3.03882,1
295,39.0947,-3.44899,1
296,47.4722,-3.69203,1
297,39.0947,-3.69203,1
298,47.4722,-3.69203,1
299,47.4722,-4.29409,1
300,36.3023,-4.29409,1
301,44.6797,-3.69203,1
302,41.8872,-4.29409,1
303,53.0571,-4.29409,1
304,47.4722,-3.391,1
305,39.0947,-3.99306,1
306,27.9248,-4.29409,1
307,36.3023,-4.29409,1
308,47.4722,-3.69203,1
309,39.0947,-3.21491,1
310,44.6797,-3.81697,1
311,39.0947,-4.29409,1
312,47.4722,-4.29409,1
313,41.8872,-3.69203,1
314,47.4722,-3.99306,1
315,25.1323,-3.69203,1
316,36.3023,-3.51594,1
317,19.5474,-3.59512,1
318,39.0947,-4.29409,1
